TITLE,AUTHOR,TRANSLATOR,PUBLICATION,CATEGORY,IMAGE,URL
Voyage dans le boudoir de Pauline,Bellin La Liborlière,,,4,,
"Voyage dans le Canada, ou histoire de miss Montaigu",anonyme,madame T. G. M.,1809,4,,
Voyage de Dimo et Nicolo Stephanopoli en Grèce,anonyme,,,,,
Voyage de Henri Swinburne en Espagne,Henri Swinburne,,1787,,,
"Voyage de Hornemann, dans l'Afrique septentrionale",M. Rennell,M. Langlès,1803,,,
Voyage (Abrégé du) de Lapeyrouse,Samuel Hearne,anonyme,1799,,,
Voyage de Samuel Héarn ,,,,,,
"Voyage de Sophie en Allemagne, en Prusse, en Saxe et en divers autres endroits ",anonyme,P. B. Lamare,1802,2,,
Voyage du jeune Anacharsis en Grèce,J.-J. Barthelemy,,1821,2; 3,,
Voyage d'un Champenois à Paris,anonyme,,1820,,,
"Voyage d'un Français fugitif, dans les années 1792 et suivantes",anonyme,,1816,,,
"Voyage en Espagne, du chevalier Saint-Gervais officier français",M. de Lantier,,1820,,,
Voyage en Hanovre,M. A. B. Mangourit,,1805,,,
Voyage fait en 1813 et 1814 dans le pays entre Meuse et Rhin,anonyme,,1818,,,
"Voyage en Norwège, en Danemarck et en Russie, pendant les années 1788, 89, 90 et 91 ",Swinton,P. F. Henry,1801,,,
"Voyage, par le Cap de Bonne-Espérance, dans l'Archipel des Moluques ",J. S. Stavorinus,H. J. Hansen,,,,
"Voyage, par terre de Santo-Domingo au Cap Français terminé par une Relation",Dorvo Soulastre,,1809,,,
Voyage pittoresque et sentimental dans plusieurs provinces occidentales de la France,anonyme,,1802,,,
Voyage poétique d'Eugène et d'Antonine,madame de Genlis,,1818,1; 3,,
Voyage sentimental en France,Laurence Sterne,anonyme,1820,,,
Voyages dans les parties sud de l'Amérique septentrionale,William Bartram,,,,,
Voyages d'Antenor en Grèce et en Asie,M. de Lantier,,,2; 4,,
Voyages (les) de Gulliver,Jonathan Swift,abbé des Fontaines,1820,,,
"Voyages de Kang-Hi, ou Nouvelles lettres chinoises",M. de Levis,,1810,,,
Voyages de MM. Ledyard et Lucas en Afrique,MM. Ledyard et Lucas,J. N. Lallemand,,,,
"Voyages du Prince persan Mirza-Aboul-Taleb-Kan, en Asie, en Afrique, en Europe",Charles Alalo ,,,,,
Voyages et Aventures extraordinaires de sir Wollap,anonyme,,,,,
"Walther, ou l'enfant du champ de bataille",Auguste Lafontaine,M. Villemain,1816,1,,
"Waverley, ou l'Ecosse il y a soixante ans",Walter Scott,J. Martin,1820,1,,
"Welf-Budo, ou les aéronautes",Auguste Lafontaine,madame Elise Voïard,1818,1,,
"Werthérie, roman sentimental",Pierre Perrin,,1792,,,
Werther,Goëthe,anonyme,,1,,
"Wilhelmina, ou l'héroïsme maternel",Alexandre Duvoisin Calas,,1815,,,
Wilmina ou l'enfant des Apennins,mademoiselle L. G. de C.,,1820,2,,
"William Hillnet, ou la Nature et l'Amour",Miltenberg,Adeline de Colbert,1801,,,
Woldemar,Jacobi,Vanderbourg,1796,,,
"Woodbury, ou le nouvel Ariodan ",anonyme,,1803,,,
"Zabeth, ou la victime de l'ambition",madame de Lagrave,,1792,,,
"Zaïde, histoire espagnole",madame de la Fayette,,1821,2,,
Zélie dans le désert,Daubenton,,1819,2,,
Zélim (Avent. de) et Damasine; histoire africaine,anonyme,,1735,,,
"Zelucco, ou le vice trouve en lui-même son châtiment",John Moore,Cantwel,1796,,,
"Zéphira et Fidgella, ou les débutantes dans le monde",madame Giroust de Morency,,1806,4,,
"Zofloïa, ou le Maure",anonyme,madame de Viterne,1812,,,
"Zoflora, ou la bonne négresse",Piquenard,,1800,,,
"Zuma, ou la découverte du quinquina",madame de Genlis,,,1; 3,,
